"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
671277,"García Jr., Luis",416,0.9122807017543859,349,"73.376037067",0.3533653846153846,0.3438395415472779,0.28846153846153844,0.20630372492836677,0.17307692307692307,"7.383684375",8,0.10200951059627439,,NaN,186,0.44711538461538464
661388,"Contreras, William",423,0.9096774193548387,350,"73.276476407",0.35697399527186763,0.39714285714285713,0.32860520094562645,0.18,0.14893617021276595,"7.196659953",5,-11.5169726775563,,NaN,214,0.5059101654846335
672960,"Okamoto, Kazuma",504,0.9016100178890877,351,"73.273011151",0.37500000000000006,0.34472934472934474,0.2400793650793651,0.17094017094017094,0.11904761904761904,"7.889669603",16,-7.321673526501115,,NaN,164,0.3253968253968254
668901,"Vientos, Mark",388,0.9150943396226415,274,"73.236014304",0.26804123711340205,0.33941605839416056,0.23969072164948454,0.19343065693430658,0.13659793814432988,"7.511685232",9,-10.336608687144423,,NaN,147,0.3788659793814433
669357,"Gorman, Nolan",420,0.8993576017130621,258,"73.063367833",0.3047619047619048,0.29069767441860467,0.17857142857142858,0.15503875968992248,0.09523809523809523,"7.573159143",8,-16.95707865302236,,NaN,117,0.2785714285714286
669236,"Jackson, Jeremiah",325,0.9103641456582633,244,"73.061884615",0.2984615384615385,0.36475409836065575,0.27384615384615385,0.18032786885245902,0.13538461538461538,"7.575702154",11,-5.278199238140153,,NaN,131,0.40307692307692305
673548,"Suzuki, Seiya",401,0.899103139013453,300,"73.002701122",0.32418952618453867,0.2966666666666667,0.22194513715710723,0.15666666666666668,0.1172069825436409,"7.256878828",10,-4.453967534484606,,NaN,148,0.3690773067331671
682928,"Abrams, CJ",548,0.9028006589785832,394,"72.97736562",0.2773722627737227,0.3350253807106599,0.24087591240875914,0.1548223350253807,0.11131386861313869,"7.732371204",13,4.063596120530926,,NaN,198,0.3613138686131387
681624,"Pages, Andy",569,0.9003164556962026,453,"72.92965304",0.26362038664323373,0.32229580573951433,0.2565905096660808,0.16997792494481237,0.13532513181019332,"7.660571494",9,-5.218024607313338,,NaN,223,0.39191564147627417
668804,"Reynolds, Bryan",492,0.9027522935779817,374,"72.915250874",0.31910569105691056,0.32620320855614976,0.24796747967479674,0.1711229946524064,0.13008130081300814,"7.024943455",22,0.7141891143067358,,NaN,185,0.37601626016260165
679529,"Torkelson, Spencer",478,0.9053030303030303,351,"72.897253201",0.22175732217573224,0.2849002849002849,0.20920502092050208,0.13105413105413105,0.09623430962343096,"7.749637322",8,-15.248027750197044,,NaN,151,0.3158995815899582
662139,"Varsho, Daulton",397,0.906392694063927,319,"72.877913955",0.27455919395465994,0.23824451410658307,0.19143576826196473,0.10344827586206896,0.08312342569269521,"7.639743098",3,-10.159414358286892,,NaN,148,0.37279596977329976
