Name,AVG,OBP,SLG,OPS,wOBA,wRC+,PA,R,HR,RBI,SB,WAR,BABIP,BB%,K%,ISO
Eloy Jiménez,0.286,0.375,0.286,0.661,,,8,0,0,0,0,,0.4,0.125,0.25,0.0
Hyeseong Kim,0.286,0.421,0.357,0.778,,,19,3,0,1,1,,0.4,0.211,0.263,0.071
Ryan Mountcastle,0.286,0.333,0.357,0.69,,,15,0,0,1,0,,0.333,0.067,0.133,0.071
J.T. Realmuto,0.286,0.388,0.405,0.793,,,49,5,1,4,0,,0.355,0.102,0.204,0.119
Masataka Yoshida,0.286,0.459,0.393,0.852,,,37,3,0,4,1,,0.364,0.216,0.162,0.107
Daylen Lile,0.284,0.321,0.338,0.659,,,78,10,0,6,1,,0.333,0.051,0.141,0.054
Elly De La Cruz,0.284,0.36,0.552,0.912,,,75,13,5,10,5,,0.341,0.107,0.28,0.268
Ramón Laureano,0.283,0.348,0.567,0.915,,,66,11,4,11,3,,0.31,0.076,0.212,0.284
Francisco Alvarez,0.283,0.377,0.565,0.942,,,55,7,4,4,0,,0.281,0.109,0.182,0.282
Garrett Mitchell,0.282,0.429,0.436,0.865,,,50,5,1,13,3,,0.526,0.2,0.38,0.154
Cam Smith,0.281,0.361,0.484,0.845,,,72,12,3,9,3,,0.341,0.097,0.236,0.203
Miguel Amaya,0.28,0.438,0.44,0.878,,,32,6,1,4,0,,0.4,0.188,0.281,0.16
Brett Sullivan,0.28,0.308,0.4,0.708,,,26,0,0,4,0,,0.368,0.038,0.231,0.12
Alec Burleson,0.279,0.375,0.412,0.787,,,80,7,2,14,1,,0.288,0.138,0.1,0.133
Ty France,0.278,0.35,0.5,0.85,,,20,3,1,1,0,,0.267,0.05,0.1,0.222
Andrés Giménez,0.276,0.323,0.483,0.806,,,63,5,3,11,3,,0.283,0.063,0.143,0.207
Brandon Lockridge,0.275,0.341,0.325,0.666,,,45,5,0,5,3,,0.355,0.089,0.2,0.05
Gabriel Moreno,0.275,0.333,0.4,0.733,,,45,6,0,5,0,,0.333,0.067,0.178,0.125
Nick Yorke,0.275,0.388,0.35,0.738,,,49,3,0,2,0,,0.344,0.122,0.184,0.075
Willy Adames,0.273,0.324,0.545,0.869,,,71,8,3,6,0,,0.319,0.07,0.225,0.272
Matt Chapman,0.273,0.324,0.394,0.718,,,71,8,1,7,0,,0.327,0.07,0.183,0.121
Michael Conforto,0.273,0.429,0.364,0.793,,,28,3,0,3,0,,0.5,0.214,0.357,0.091
Griffin Conine,0.273,0.36,0.591,0.951,,,25,6,2,4,2,,0.286,0.08,0.24,0.318
Leo Jiménez,0.273,0.333,0.273,0.606,,,12,0,0,0,0,,0.273,0.083,0.0,0.0
Dillon Dingler,0.271,0.364,0.5,0.864,,,57,8,3,12,0,,0.286,0.053,0.175,0.229
Ben Williamson,0.271,0.34,0.354,0.694,,,54,11,0,6,2,,0.351,0.093,0.204,0.083
Xander Bogaerts,0.27,0.333,0.397,0.73,,,69,4,2,11,2,,0.273,0.087,0.087,0.127
Bobby Witt Jr.,0.27,0.365,0.317,0.682,,,74,1,0,7,8,,0.333,0.135,0.176,0.047
Brandon Lowe,0.268,0.397,0.679,1.076,,,68,11,7,15,0,,0.229,0.162,0.206,0.411
Brady House,0.267,0.323,0.433,0.756,,,65,8,2,7,0,,0.359,0.077,0.292,0.166
Trevor Larnach,0.267,0.421,0.433,0.854,,,38,6,1,7,0,,0.304,0.211,0.158,0.166
Oswald Peraza,0.267,0.327,0.511,0.838,,,50,4,3,5,1,,0.3,0.08,0.24,0.244
Jacob Young,0.265,0.294,0.469,0.763,,,52,8,2,7,1,,0.282,0.038,0.154,0.204
Jonny DeLuca,0.265,0.286,0.412,0.698,,,35,5,1,6,1,,0.296,0.029,0.171,0.147
James Wood,0.265,0.398,0.574,0.972,,,83,15,5,14,3,,0.351,0.169,0.313,0.309
Andruw Monasterio,0.263,0.364,0.368,0.732,,,22,2,0,3,0,,0.357,0.136,0.227,0.105
Luis Torrens,0.263,0.263,0.316,0.579,,,19,2,0,4,0,,0.294,0.0,0.105,0.053
Daulton Varsho,0.263,0.333,0.491,0.824,,,63,7,3,7,1,,0.261,0.095,0.127,0.228
Ryan Vilade,0.263,0.3,0.316,0.616,,,20,3,0,2,0,,0.385,0.05,0.3,0.053
Tyler Freeman,0.261,0.37,0.261,0.631,,,28,1,0,3,2,,0.316,0.036,0.143,0.0
Dane Myers,0.261,0.32,0.261,0.581,,,25,2,0,1,1,,0.316,0.08,0.16,0.0
Victor Caratini,0.259,0.373,0.333,0.706,,,67,5,1,8,0,,0.277,0.104,0.119,0.074
Luis Robert Jr.,0.259,0.394,0.37,0.764,,,66,9,2,7,2,,0.316,0.182,0.212,0.111
Gary Sánchez,0.259,0.412,0.815,1.227,,,34,7,5,9,0,,0.167,0.206,0.294,0.556
Chase DeLauter,0.259,0.343,0.586,0.929,,,67,9,5,12,0,,0.233,0.119,0.164,0.327
Bryce Harper,0.258,0.361,0.484,0.845,,,72,9,3,10,1,,0.26,0.139,0.125,0.226
Ezequiel Tovar,0.258,0.29,0.409,0.699,,,69,6,1,6,1,,0.356,0.029,0.29,0.151
Freddie Freeman,0.257,0.307,0.457,0.764,,,75,8,3,14,0,,0.263,0.053,0.133,0.2
Jeremy Peña,0.256,0.304,0.349,0.653,,,46,5,0,0,1,,0.297,0.065,0.13,0.093
Victor Scott II,0.255,0.294,0.277,0.571,,,56,5,0,3,3,,0.343,0.054,0.232,0.022
Connor Norby,0.255,0.371,0.451,0.822,,,62,5,2,6,0,,0.306,0.097,0.226,0.196
Luis García Jr.,0.255,0.281,0.4,0.681,,,57,8,1,9,0,,0.283,0.035,0.14,0.145
Hunter Goodman,0.254,0.333,0.475,0.808,,,66,12,4,7,1,,0.379,0.076,0.394,0.221
Shohei Ohtani,0.254,0.402,0.508,0.91,,,82,10,5,10,0,,0.268,0.171,0.232,0.254
Agustín Ramírez,0.254,0.342,0.381,0.723,,,73,10,1,9,1,,0.313,0.11,0.205,0.127
Trea Turner,0.254,0.293,0.352,0.645,,,75,12,1,6,1,,0.315,0.053,0.213,0.098
Billy Cook,0.25,0.25,0.25,0.5,,,4,1,0,0,0,,0.5,0.0,0.5,0.0
Deyvison De Los Santos,0.25,0.25,0.5,0.75,,,4,0,0,0,0,,0.5,0.0,0.5,0.25
Dustin Harris,0.25,0.438,0.333,0.771,,,16,2,0,1,2,,0.273,0.25,0.062,0.083
Sam Huff,0.25,0.25,0.5,0.75,,,4,0,0,1,0,,0.333,0.0,0.25,0.25
Luis Matos,0.25,0.308,0.25,0.558,,,13,0,0,0,0,,0.5,0.077,0.462,0.0
Ronny Mauricio,0.25,0.25,0.25,0.5,,,4,0,0,1,0,,0.5,0.0,0.5,0.0
James McCann,0.25,0.28,0.375,0.655,,,26,2,0,3,0,,0.4,0.038,0.346,0.125
Parker Meadows,0.25,0.308,0.333,0.641,,,39,3,0,2,3,,0.346,0.051,0.256,0.083
Jackson Merrill,0.25,0.314,0.453,0.767,,,71,14,3,11,4,,0.26,0.085,0.155,0.203
Everson Pereira,0.25,0.286,0.6,0.886,,,21,4,2,4,0,,0.333,0.048,0.429,0.35
Davis Schneider,0.25,0.4,0.458,0.858,,,30,8,1,5,0,,0.357,0.2,0.3,0.208
Andrew Vaughn,0.25,0.25,0.25,0.5,,,4,0,0,1,0,,0.25,0.0,0.0,0.0
Jake Burger,0.246,0.278,0.478,0.756,,,72,7,4,12,0,,0.302,0.028,0.306,0.232
Roman Anthony,0.246,0.355,0.369,0.724,,,76,11,1,3,1,,0.341,0.132,0.263,0.123
Owen Caissie,0.245,0.309,0.449,0.758,,,55,6,2,12,1,,0.4,0.073,0.418,0.204
Nick Gonzales,0.245,0.302,0.306,0.608,,,53,7,0,8,1,,0.308,0.075,0.189,0.061
Josh Jung,0.245,0.302,0.306,0.608,,,53,4,0,3,0,,0.324,0.075,0.226,0.061
Jorge Barrosa,0.244,0.292,0.444,0.736,,,49,5,0,4,0,,0.393,0.041,0.347,0.2
Jake Meyers,0.243,0.326,0.378,0.704,,,43,5,1,4,1,,0.276,0.093,0.186,0.135
Mickey Moniak,0.243,0.256,0.649,0.905,,,39,6,5,9,0,,0.167,0.026,0.231,0.406
Tristan Peters,0.243,0.3,0.27,0.57,,,40,1,0,1,1,,0.375,0.075,0.325,0.027
Alex Bregman,0.243,0.316,0.343,0.659,,,79,3,2,9,0,,0.259,0.101,0.139,0.1
Ezequiel Duran,0.242,0.306,0.364,0.67,,,36,4,1,4,2,,0.318,0.083,0.278,0.122
Fernando Tatis Jr.,0.242,0.316,0.303,0.619,,,77,7,0,7,4,,0.32,0.104,0.234,0.061
Kyle Tucker,0.242,0.36,0.306,0.666,,,75,13,1,10,3,,0.311,0.16,0.227,0.064
Michael Harris II,0.241,0.279,0.362,0.641,,,61,5,2,7,1,,0.279,0.049,0.213,0.121
Curtis Mead,0.241,0.333,0.414,0.747,,,33,4,1,5,2,,0.25,0.121,0.121,0.173
Tyler O'Neill,0.241,0.353,0.345,0.698,,,34,6,1,4,0,,0.273,0.088,0.176,0.104
Brooks Lee,0.241,0.281,0.426,0.707,,,57,5,3,11,0,,0.25,0.035,0.193,0.185
Jake Bauers,0.24,0.309,0.56,0.869,,,55,10,5,13,2,,0.206,0.091,0.2,0.32
Steven Kwan,0.239,0.316,0.324,0.64,,,80,8,1,6,2,,0.258,0.087,0.1,0.085
