Name,ERA,FIP,xFIP,WHIP,K/9,BB/9,HR/9,K%,BB%,BABIP,LOB%,WAR,IP,G,GS,W,L
Ildemaro Vargas,4.5,,,1.5,0.0,4.5,4.5,0.0,0.1,0.25,,,2.0,2,0,0,0
Jason Vosler,4.5,,,2.5,0.0,0.0,0.0,0.0,0.0,0.455,,,2.0,2,0,0,0
Guillo Zuñiga,4.5,,,1.0,18.0,0.0,0.0,0.5,0.0,0.25,,,2.0,2,0,0,0
Joe Ryan,4.51,,,1.17,10.97,1.89,1.78,0.293,0.051,0.248,,,161.2,29,29,11,10
Ryan Yarbrough,4.52,,,1.23,6.72,1.41,1.3,0.178,0.037,0.271,,,89.2,25,9,8,7
Austin Cox,4.54,,,1.26,8.33,4.29,0.5,0.221,0.114,0.22,,,35.2,24,3,0,1
JP Sears,4.54,,,1.26,8.41,2.77,1.78,0.219,0.072,0.249,,,172.1,32,32,5,14
Colin Rea,4.55,,,1.19,7.94,2.74,1.66,0.213,0.074,0.235,,,124.2,26,22,6,6
Yu Darvish,4.56,,,1.3,9.31,2.84,1.19,0.246,0.075,0.259,,,136.1,24,24,8,10
Domingo Germán,4.56,,,1.08,9.44,2.82,1.66,0.257,0.077,0.207,,,108.2,20,19,5,7
Cristian Javier,4.56,,,1.27,8.83,3.44,1.39,0.231,0.09,0.234,,,162.0,31,31,10,5
Daniel Bard,4.56,,,1.7,8.57,8.94,0.91,0.203,0.211,0.206,,,49.1,50,0,4,2
Brad Keller,4.57,,,1.92,6.15,8.93,0.6,0.147,0.213,0.259,,,45.1,11,9,3,4
Luis Patiño,4.57,,,1.62,7.48,5.82,1.25,0.182,0.141,0.247,,,21.2,9,1,0,1
Dylan Cease,4.58,,,1.42,10.88,4.02,0.97,0.273,0.101,0.25,,,177.0,33,33,7,9
John Curtiss,4.58,,,1.27,7.32,3.66,1.37,0.198,0.099,0.236,,,19.2,15,0,0,0
Julio Urías,4.6,,,1.16,8.97,1.84,1.84,0.243,0.05,0.252,,,117.1,21,21,11,8
Jake Irvin,4.61,,,1.42,7.36,4.02,1.49,0.187,0.102,0.255,,,121.0,24,24,3,7
Joe Mantiply,4.62,,,1.13,6.46,2.08,0.92,0.178,0.057,0.236,,,39.0,35,3,2,2
Gregory Soto,4.62,,,1.14,9.7,3.28,0.9,0.26,0.088,0.21,,,60.1,69,0,3,4
Richard Lovelady,4.63,,,1.07,9.26,3.86,1.16,0.25,0.104,0.188,,,23.1,27,0,0,3
James McArthur,4.63,,,0.94,8.87,0.77,0.77,0.256,0.022,0.235,,,23.1,18,2,1,0
Kirby Snead,4.63,,,1.71,6.94,4.63,0.77,0.161,0.107,0.28,,,11.2,15,0,1,2
Louis Varland,4.63,,,1.22,9.4,2.25,2.12,0.251,0.06,0.252,,,68.0,17,10,4,3
Chasen Shreve,4.63,,,1.34,9.07,2.82,1.41,0.233,0.073,0.266,,,44.2,50,0,1,2
Hayden Wesneski,4.63,,,1.28,8.36,3.22,2.01,0.219,0.084,0.242,,,89.1,34,11,3,5
Clarke Schmidt,4.64,,,1.35,8.43,2.6,1.36,0.215,0.066,0.268,,,159.0,33,32,9,9
Daniel Lynch IV,4.64,,,1.26,5.85,2.75,1.55,0.152,0.072,0.245,,,52.1,9,9,3,4
Scott Alexander,4.66,,,1.37,5.77,2.05,0.37,0.149,0.053,0.282,,,48.1,55,8,7,3
Joe Barlow,4.66,,,1.55,5.59,1.86,1.86,0.136,0.045,0.31,,,9.2,13,0,1,1
