Name,AVG,OBP,SLG,OPS,wOBA,wRC+,PA,R,HR,RBI,SB,WAR,BABIP,BB%,K%,ISO
Mickey Moniak,0.27,0.306,0.518,0.824,,,461,62,24,68,9,,0.307,0.048,0.239,0.248
Jackson Chourio,0.27,0.308,0.463,0.771,,,589,88,21,78,21,,0.308,0.051,0.205,0.193
Ildemaro Vargas,0.27,0.292,0.383,0.675,,,121,12,3,19,0,,0.286,0.017,0.124,0.113
Rob Refsnyder,0.269,0.354,0.484,0.838,,,209,29,9,30,3,,0.331,0.115,0.258,0.215
Gavin Lux,0.269,0.35,0.374,0.724,,,503,49,5,53,1,,0.351,0.111,0.227,0.105
Edgar Quero,0.268,0.333,0.356,0.689,,,403,31,5,36,0,,0.32,0.079,0.176,0.088
Fernando Tatis Jr.,0.268,0.368,0.446,0.814,,,691,111,25,71,32,,0.303,0.129,0.187,0.178
Adam Frazier,0.267,0.319,0.365,0.684,,,459,43,7,44,8,,0.313,0.057,0.176,0.098
Francisco Lindor,0.267,0.346,0.466,0.812,,,732,117,31,86,31,,0.288,0.089,0.179,0.199
Julio Rodríguez,0.267,0.324,0.474,0.798,,,710,106,32,95,30,,0.302,0.062,0.214,0.207
Alex Call,0.267,0.361,0.385,0.746,,,322,43,5,31,2,,0.313,0.112,0.171,0.118
Jung Hoo Lee,0.266,0.327,0.407,0.734,,,617,73,8,55,10,,0.291,0.076,0.115,0.141
Ryan Jeffers,0.266,0.356,0.397,0.753,,,464,47,9,47,1,,0.322,0.108,0.196,0.131
Kyle Tucker,0.266,0.377,0.464,0.841,,,597,91,22,73,25,,0.282,0.146,0.147,0.198
Masataka Yoshida,0.266,0.307,0.388,0.695,,,205,16,4,26,3,,0.28,0.049,0.117,0.122
Austin Hays,0.266,0.315,0.453,0.768,,,416,60,15,64,7,,0.326,0.07,0.257,0.187
Heriberto Hernández,0.266,0.347,0.438,0.785,,,294,40,10,45,1,,0.335,0.105,0.262,0.172
DJ LeMahieu,0.266,0.338,0.336,0.674,,,142,13,2,12,0,,0.352,0.099,0.246,0.07
Jorge Polanco,0.265,0.326,0.495,0.821,,,524,64,26,78,6,,0.269,0.08,0.156,0.23
